Id,Title,Body,Tags,Type
,How to select data from mysql database by date,"<p>I have an DB Table with a column appointment_date [<strong>type</strong>: <strong>date</strong>], I want select all the data matching with today's date.</p>
",<php><mysql><sql><database><date>,1
,How to pass data between Activities in Android,"How do I pass data between Activities in Android?

Example: I made a group CardView is in the second activitys, and I collected this card (It shows the user how much card there is in this activity)

I would like to pass the card number to the first activity

Second activity

public class Skin extends AppCompatActivity   {
    private Toolbar toolbar;
    public TextView tx;
    private  static  int mysize;
    public List<SettersAndGetters> lstPress;



    @Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_mainm);
        TextView tt = (TextView) findViewById(R.id.titel_card);
        Button add = (Button) findViewById(R.id.add);

        toolbar = (Toolbar) findViewById(R.id.toolbar20);
        setSupportActionBar(toolbar);
        getSupportActionBar().setDisplayShowTitleEnabled(false);
        toolbar.setNavigationOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v)
            {
                v.setFocusableInTouchMode(true);
                v.requestFocus();
                onBackPressed();
            }
        });


        add.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v) {
                Intent intent = new Intent(Skin.this, ADD.class);
                startActivity(intent);
            }
        });

//The contents of the card that you collected
        tt.setText(R.string.cn1);

        lstPress = new ArrayList<>();
        lstPress.add(new SettersAndGetters(R.string.cr5, R.string.c2, R.string.com1, R.string.des5, R.drawable.p5, 120, 55, 10000005));
        lstPress.add(new SettersAndGetters(R.string.cr1, R.string.c2, R.string.com1, R.string.des1, R.drawable.p2, 12, 12, 1800000));
        lstPress.add(new SettersAndGetters(R.string.cr1, R.string.c2, R.string.com1, R.string.des1, R.drawable.p2, 12, 12, 1800000));
        lstPress.add(new SettersAndGetters(R.string.cr1, R.string.c2, R.string.com1, R.string.des1, R.drawable.p2, 12, 12, 1800000));
        lstPress.add(new SettersAndGetters(R.string.cr1, R.string.c2, R.string.com1, R.string.des1, R.drawable.p2, 12, 12, 1800000));
        lstPress.add(new SettersAndGetters(R.string.cr1, R.string.c2, R.string.com1, R.string.des1, R.drawable.p2, 12, 12, 1800000));

        tx = (TextView) findViewById(R.id.c);
        int size = lstPress.size();     //here This line works great for me, but I want it in the first class (pass it to a class before it)
        tx.setText("""" + size);
        mysize=size;



        Toast.makeText(getApplicationContext(),""Size=""+size,Toast.LENGTH_LONG).show();




        RecyclerView myr = (RecyclerView) findViewById(R.id.recycler_view);
        RecyclerViewAdapter myAdapter = new RecyclerViewAdapter(this, lstPress);
        myr.setLayoutManager(new GridLayoutManager(this, 2));
        myr.setAdapter(myAdapter);



    }

    @Override
    public boolean onPrepareOptionsMenu(Menu menu) {

        return true;

    }


    @Override
    public boolean onCreateOptionsMenu(Menu menu) {
        // Inflate the menu; this adds items to the action bar if it is present.
        getMenuInflater().inflate(R.menu.menu_add, menu);
        // Inflate switch
        ImageButton re = (ImageButton) menu.findItem(R.id.item_switch2)
                .getActionView().findViewById(R.id.back2);






        re.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v) {
                onBackPressed();
                Toast.makeText(Skin.this, ""hhi"", Toast.LENGTH_SHORT).show();
            }
        });



        ImageButton btnubload = (ImageButton) menu.findItem(R.id.item_switch2)
                .getActionView().findViewById(R.id.btnaddUPLOAD);






        btnubload.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v) {
                Intent intent = new Intent(Skin.this, ADD.class);
                startActivity(intent);



            }
        });





        return true;




    }

    @Override
    protected void attachBaseContext(Context newBase) {
        super.attachBaseContext(ViewPumpContextWrapper.wrap(newBase));
    }

    @Override
    public boolean onSupportNavigateUp() {
        onBackPressed();
        return true;
    }




public static int getMysize(){


        return mysize;

}


}
MainActivity is first activity

    public class MainActivity extends AppCompatActivity implements BootShett.BottomSheetListener {


protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_mainm);
        TextView tt = (TextView) findViewById(R.id.Number_of_badges)


 int c=Skin.getMysize();
        tt.setText(""""+c);


}","<java>
<android>
<android-studio>
<class>",1
,How do we access the .class file in java equivalent in kotlin?,"<p>In android the same way we access JavaFile.class, how do we do that in Kotlin?</p>
",<java><android><android-studio><kotlin>,1
,Open another activity when dialog's button is pressed?,"I'd like to successfully run the code below (belonging to this library) when any of the buttons from this Rating Dialog are pressed. How can I do it?

  public void goToPickerActivity() {
    Intent intent = new com.sucho.placepicker.PlacePicker.IntentBuilder()
            .onlyCoordinates(true) //Get only Coordinates from Place Picker
            .showLatLong(true)
            .setLatLong(40.71274, -74.005974)  // Initial Latitude and Longitude the Map will load into (NYC coordinates)
            .setMapZoom(2.5f)  // Map Zoom Level. Default: 14.0
            .build(this);

    startActivityForResult(intent, Constants.PLACE_PICKER_REQUEST);
  }
Edit: I want to execute goToPickerActivity() first and then execute the library's intended click code. For example, when Rate App button is clicked:

Step 1 is: execute goToPickerActivity().

Once that's complete, Step 2 is: run the usual Rate App clicked code.","<java>
<android>
<dialog>",1
,Intent not working in recyclerview onclick,"I created a recyclerview that displays a list of users from firebase, i want to send user to another activity whenever they clicks on an item in the list but it kept saying ""CurrentActivity is not an enclosing tag"" whenever i call on intent. Heres the code

  public class UserActivity extends AppCompatActivity {
        private Toolbar mToobar;

        private RecyclerView recyclerView;
        private UserAdapter adapter;


        @Override
        protected void onCreate(Bundle savedInstanceState) {
            super.onCreate(savedInstanceState);
            setContentView(R.layout.activity_user);

            mToobar = findViewById(R.id.toolbar);
            setSupportActionBar(mToobar);
            Objects.requireNonNull(getSupportActionBar()).setTitle(""Find New Friends"");
            getSupportActionBar().setDisplayHomeAsUpEnabled(true);
            mToobar.setTitleTextColor(Color.parseColor(""WHITE""));

            recyclerView = findViewById(R.id.recycler);
            recyclerView.setLayoutManager(new LinearLayoutManager(this));
            //recyclerView.setHasFixedSize(true);



            FirebaseRecyclerOptions<UserModel> options = new FirebaseRecyclerOptions.Builder<UserModel>()
                    .setQuery(FirebaseDatabase.getInstance().getReference().child(""Users""), UserModel.class)
                    .build();

            adapter = new UserAdapter(options);
            recyclerView.setAdapter(adapter);
            recyclerView.setOnClickListener(new View.OnClickListener() {
                @Override
                public void onClick(View v) {
                    Intent i = new Intent(UserActivity.this, ProfileActivity.class);
                    startActivity(i);
                }
            });
        }



        @Override
        protected void onStart() {
            super.onStart();
            adapter.startListening();
        }

        @Override
        protected void onStop() {
            super.onStop();
            adapter.stopListening();
        }


    }
Here's the adapter class

public class UserAdapter extends FirebaseRecyclerAdapter<UserModel, UserAdapter.UserViewHolder> {



    /**
     * Initialize a {@link RecyclerView.Adapter} that listens to a Firebase query. See
     * {@link FirebaseRecyclerOptions} for configuration options.
     *
     * @param options
     */
    public UserAdapter(@NonNull FirebaseRecyclerOptions<UserModel> options) {
        super(options);
    }


    @Override
    protected void onBindViewHolder(@NonNull UserViewHolder holder, int position, @NonNull UserModel model) {

        holder.mName.setText(model.getName());
        holder.mStatus.setText(model.getStatus());
        Picasso.get().load(model.getImage()).placeholder(R.drawable.avatar).into(holder.mImage);

        holder.itemView.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View v) {
                Intent intent = new Intent(UserActivity.this, ProfileActivity.class);
                startActivity(intent);
                //heres the error, UserActivity is not an enclosing tag
            }
        });


    }

    @NonNull
    @Override
    public UserViewHolder onCreateViewHolder(@NonNull ViewGroup parent, int viewType) {
        View view = LayoutInflater.from(parent.getContext())
                .inflate(R.layout.single_user_layout, parent, false);
        return new UserViewHolder(view);
    }

    class UserViewHolder extends RecyclerView.ViewHolder{

        TextView mName, mStatus;
        CircleImageView mImage;

        public UserViewHolder(@NonNull View itemView) {
            super(itemView);

            mName = itemView.findViewById(R.id.user_displayname);
            mStatus = itemView.findViewById(R.id.user_status);
            mImage = itemView.findViewById(R.id.user_photo);
        }
    }
}
This is the model class

public class UserModel {
    public String name;
           String image;
           String status;

    public UserModel() {
    }

    @Override
    public String toString() {
        return ""UserModel{"" +
                ""name='"" + name + '\'' +
                "", image='"" + image + '\'' +
                "", status='"" + status + '\'' +
                '}';
    }

    public String getName() {
        return name;
    }

    public void setName(String name) {
        this.name = name;
    }

    public String getImage() {
        return image;
    }

    public void setImage(String image) {
        this.image = image;
    }

    public String getStatus() {
        return status;
    }

    public void setStatus(String status) {
        this.status = status;
    }
}
Can someone help me on better way on how to implement onClickListener, please?","<java>
<android>
<android-recyclerview>",1
,Angular 6: How to set response type as text while making http call,"<p>I trying to make http request to the spring rest API.. API returns a string value (""success"" or ""fail"")... but I dont know how to set the response type as string value while making call to the API..<strong>its throwing error as Backend returned code 200, body was: [object Object]</strong></p>

<p>My angular code is like below,</p>

<p>order.service.ts</p>

<pre><code>import { Injectable } from '@angular/core';
import { HttpClient, HttpHeaders } from '@angular/common/http';
import { ProductSearch } from '../_models/product-search';
import { ProductView } from '../_models/product-view';
import { Observable } from 'rxjs';
import { catchError } from 'rxjs/operators';
import { ErrorHandlerService } from './error-handler.service';
import { Category } from '../_models/category';


@Injectable({
  providedIn: 'root'
})
export class OrderService {

  constructor(private http: HttpClient, private errorHandlerService: ErrorHandlerService) { }

addToCart(productId: number, quantity: number): Observable&lt;any&gt; {
    const headers = new HttpHeaders().set('Content-Type', 'text/plain; charset=utf-8');
    console.log(""--------order.service.ts----------addToCart()-------productId:""+productId+"":------quantity:""+quantity);
     return this.http.post&lt;any&gt;('http://localhost:8080/order/addtocart', 
              { dealerId: 13, createdBy: ""-1"", productId: productId, quantity: quantity}, 
              {headers: headers})
              .pipe(catchError(this.errorHandlerService.handleError));
    }
}
</code></pre>

<p>error-handler.service.ts</p>

<pre><code>import { Injectable } from '@angular/core';
import { HttpErrorResponse, HttpResponse } from '@angular/common/http';

import { Observable, throwError } from 'rxjs';
import { catchError, retry } from 'rxjs/operators';

@Injectable({
  providedIn: 'root'
})
export class ErrorHandlerService {

  constructor() { }

  public handleError(error: HttpErrorResponse) {
    if (error.error instanceof ErrorEvent) {
      // A client-side or network error occurred. Handle it accordingly.
      console.error('An error occurred:', error.error.message);
    } else {
      // The backend returned an unsuccessful response code.
      // The response body may contain clues as to what went wrong,
      console.error(
        `Backend returned code ${error.status}, ` +
        `body was: ${error.error}`);
    }
    // return an observable with a user-facing error message
    return throwError(
      'Something bad happened; please try again later.');
  };

}
</code></pre>

<p>Any help would be appreciated... thanks in advance..</p>
",<javascript><angular><typescript>,1
,Javascript - nested dictionary from array of strings separated with dots,"<p>I have to <strong>translate</strong> an array <strong>to</strong> nested dictionary.</p>

<p>In case i have a string array. each string combined from numbers that seprated by dots,
and each number means a key in the translated dictionary. (except the last number)</p>

<p>e.g.</p>

<p>i have this array:
<code>array = [""5.1.1.1"",""5.1.1.2"",""5.1.1.3"",...""5.2.1.2"",""5.2.1.4""...""1.1.1.1""...""1.2.1.3""]</code></p>

<p>and i need output to be this:</p>

<pre><code>var output = {
    '5': {
        '1': {
            '1': [1,2,3],
            '2': [1]
        },
        '2':{
            '1': [2,4],
            '2': [1]
        }
    },
    '1': {
        '1':{
            '1':[1,2,5],
            '2':[1]
        },
        '2':{
            '1':[2,3]
        }
    }
};

</code></pre>

<p>i have an opposite function, which get a nested dictionary and her output is an array.</p>

<p>link: <a href=""https://stackoverflow.com/a/59191937/7593555"">https://stackoverflow.com/a/59191937/7593555</a></p>

<p>Thanks for helping :).</p>
",<javascript><angular><typescript>,1
,Promise.All returning empty,"I have few api call requests which i am trying to create promises and then execute all using Promise.all but, its giving empty value instead of array. Below is my code.

function getUser(arrUser) {
  var student = [];
  return new Promise((resolve, reject) => {
    if (arrUser.length > 0) {
      var promises = arrUseridRequest.map(userRequeset => {
        return getRequest(userRequeset).then(result => {
          student.push(JSON.parse(result.body).result[0].Name);
          console.log(student); //This is giving right details.
        }).catch(error => {
          reject(error);
        });
      });

      Promise.all(promises).then(StuName => {
        resolve(StuName.join());
      })
    }
  });
}
and this is how i am trying to get the values at once:

getUser('123').then(student => {
  console.log(Student) //Coming as empty
});
getRequest is my api call nodeJs request module. What's wrong in my code?","<javascript>
<asynchronous>
<promise>",1
,Create array of pointers in C++,"<p>I'm new comer to C++, so I'm very confused about the code below:</p>

<pre><code>const char* headers[]= {""apple"",""pear"",""tree""};
</code></pre>

<p>So is this line supposed to create ""an array of pointers to char""? (Maybe i'm wrong). If so, why such array of pointers being assigned to an array of strings? </p>

<p>Also I'm confused why bother to have such <strong>pointer</strong> array? Can't we simply do sth like: <code>int array [5] = { 1, 2, 3, 4, 5 };</code> </p>

<p>All such pointer/reference stuff in C++ are so confusing and difficult for people like me from Java world.</p>

<p>Many thanks!</p>
",<c++><arrays><pointers>,1
,Z-Index Placing Text in Front of Image,"I have a section with 3 columns, the middle column has an GIF image within it, but the text at either side is behind it rather than in front.

I've tried a few z-index options with no luck, not sure where I'm going wrong on the correct way I should be using this property.

Heres what I have - I've removed z-index from CSS:

     <div class=""row"">
                <i class=""icon ion-md-exit""></i>
                 <h2>TEXT</h2>
                 <p>TEXT</p>
             </div>
             
         </div>
         
         
         
         <div class=""col span-1-of-3"">
         <img src=""resources/css/img/gif.gif"">
         </div>
         
           
           
            <div class=""col span-1-of-3"">
             <div class=""row"">
               <i class=""icon ion-md-exit""></i>
                <h2>TEXT</h2>
                <p>TEXT</p>
                 
             </div>

CSS

    .section-all-design {
        height: 100vh;
        background-color: #fbfbfb;
        padding: 5%;
    }
    
    .section-all-design img {
        width: 190%;
        margin-left: -50%;
    }
    

Also- Whilst I'm here, I'm looking to vertically align these text boxes along each side of my GIF image, what properties do I need to add to my vertical-align to make this happen? Line-height doesn't help me.

Thanks!
",<html><css><vertical-alignment>,1
,Electron loading animation,"Could someone please help me to implement a loading animation for my Electron app ? I am learning this new technology and it would be nice to understand the correct way to do that.

I am thinking about something like :

app.on('ready', () => {
     // show main content
})

app.on('not-ready', () => {
     // show loading animation
})","<node.js>
<animation>
<electron>
<loader>",1
,"How to upload, display and erase images using node.js and express",I need to upload an image to the server (built in nodejs) and display it for everyone in the html site. When someone does the same thing the last image can go away I don't need to store it. Anyone can help me with this? Best,"<node.js>
<express>
<server>
<image-uploading>",1
,Cannot call a method within a class it defined it in ES6 in Node.js,"<p>I am making an app using Node.js, Express.js and MongoDB. 
I am using a MVC pattern and also have separate file for routes. 
I am trying me make a Controller class, in which a method calls another method declared within it. But I cannot seem to be able to do this. I get ""Cannot read property '' of undefined"".</p>

<p>index.js file</p>

<pre><code>let express = require('express');
let app = express();

let productController = require('../controllers/ProductController');

app.post('/product', productController.create);

http.createServer(app).listen('3000');
</code></pre>

<p>ProductController.js file</p>

<pre><code>class ProductController {
  constructor(){}

  create(){
   console.log('Checking if the following logs:');
   this.callme();
  }

 callme(){
  console.log('yes');
 }
}
module.exports = new ProductController();
</code></pre>

<p>When I run this I get following error message:</p>

<pre><code>Cannot read property 'callme' of undefined
</code></pre>

<p>I have ran this code by itself with little modification as following and it works.</p>

<pre><code>class ProductController {
  constructor(){}
  create(){
    console.log('Checking if the following logs:');
    this.callme();
  }

  callme(){
    console.log('yes');
  }
}
let product = new ProductController();
product.create();
</code></pre>

<p>Why does one work and not the other?
HELP!</p>
",<javascript><node.js><express><ecmascript-6><es6-class>,1
,"Node JS, Static Function / Variable Best Practice","I have a Java background, I am trying to build a Node JS lib. I have a class in Java like this;

public class MyClass {
    static List<String> myList = initMyList();
    private String something;

    public MyClass(String something) {
        validate(something);
        this.something = something;    
    }

    public static String doSomething(String something) {
        return doSomethingWithMyList(something);
    }

    public String doSomething() {
        return doSomething(something);
    }

    private static String doSomethingWithMyList (String something) {
        // do something with list ..
        return something
    }
}
As you can see, it has a static helper method static String doSomething takes String param and non static function String doSomething uses the instance variable, something.

So users can do either MyClass.doSomething(string) or MyClass m = new MyClass(sting); m.doSomething(). The former wouldn't do validation but the later will do the validation in the constructor.

I want to do this in Node JS. And I have this.

// construction function
function MyClass(something) {
  validate(something);
  this.something = something;
}

// static variable 
MyClass.myList = someModule.getList();

// static function
MyClass.doSomething = function doSomething (something) {
  return something;
};

// private static
MyClass._doSeomthingWithMyList = function _doSeomthingWithMyList (something) {
  // do something wiht list
  return something;
};


MyClass.prototype.doSomething = function doSomething() {
  MyClass.doSomething(this.something);
};

module.export = MyClass;
As I am new to Node JS world, I want to make sure that this is right way to implement class with static and non static methods.","<java>
<node.js>
<class>
<static>",1
,How can I access a variable outside a promise `.then` method?,"I'm working on a Spotify app. I'm able to login and get my token. My problem is I cannot access a variable outside the method. In this case ""getCurrentUser""

This is my method:

function getUser() {
  if ($localStorage.token == undefined) {
    throw alert(""Not logged in"");
  } else {
    Spotify.getCurrentUser().then(function(data) {
      var names = JSON.stringify(data.data.display_name);
      console.log(names)
    })
  }
};
As you can see I console.logged the name and I do get the right value in the console. But only works there if I call the function getUser() I get undefined even with a return of the names variable.

I need to $scope that variable.","<javascript>
<angularjs>
<angular-promise>",1
,Error [ERR_MODULE_NOT_FOUND]: Cannot find module,"I'm working on a node project (screenshot). I have a single function (urls) in helpers.js which I'm exporting at the bottom as:

module.exports = {
urls: urls,
};
In my index.js I'm trying to import it with:

import { urls } from '.helpers';
const myUrls = urls(1,3);
When I run it I get

Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/home/optionhomes11/nodeprojects/hayes/helpers' imported from /home/optionhomes11/nodeprojects/hayes/index.js Did you mean to import ../helpers.js?
What am I doing wrong?",<javascript><node.js>,1
,Why Firexfox and IE cannot open a link (anchor) inside a <button></button> tag.,"<p>Why IE and Firefox cannot open a link inside the button tag, In chrome
 it opens the link in same window.</p>
 
 <p>Example:</p>
 
 <pre><code>&lt;button type=""button""&gt;&lt;a href=""http://stackoverflow.com""&gt;stackoverflow&lt;/a&gt;&lt;/button&gt;
 </code></pre>",<html>,1
,Accessing HTML code with c#,"<p>I am currently working on a project where I want to manipulate a website with help of a a small program, preferably in c#. The idea is to go to facebook, xing etc. copy out all messages I received. I can then write an answer without having to open the website and navigating through it. Its more of a programming practice excercise then anything useful. </p>
 
 <p>Now my question: I have programmed someting similar using cursor positions via VBA. As you can imagine, thats very fragile. I'd like to reference the HTML elements directly via their ID. I tried a macro addon (imacros), but that doesn't really meet my requirements. Do you guys have any good ideas?</p>
 
 <p>Thanks ahead! </p>",<c#><html>,1
,How to make a WordPress grid with text overlay,"<p>I'm trying to make a 2 column grid in WordPress where each row has a grid item filled with an image, and a grid item filled with text/a clickable button and a background image. </p>
 
 <p>I'm also using Visual Composer. I'm creating a full width row, and then splitting it into two 50% columns. Then I make one an HTML block, and add the image simply enough. But the other is more difficult...</p>
 
 <p>If I make it an HTML block and write out the text and set a background image, then the background image is only going to cover the text area. I need the grid items to be the same size, I will attach a mock-up I'm trying to recreate. I can't post a link because it's for a client and that is against our contract.</p>
 
 <p>Thank you!!</p>
 
 <p><a href=""http://i.stack.imgur.com/d3WtF.png"" rel=""nofollow"">Mock-up</a></p>",<html><css><wordpress>,1
